"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
9.697121380E-1,-5.203978419E-1,4.221417308E-1,-2.226759911E0
9.747121380E-1,-6.776551008E-1,5.917057991E-1,-1.946687698E0
9.797121380E-1,-8.119542003E-1,6.410629749E-1,-1.822297096E0
9.847121380E-1,-9.046191573E-1,5.992688537E-1,-1.733785629E0
9.897121380E-1,-9.390463829E-1,5.258029103E-1,-1.678870201E0
9.947121380E-1,-8.801333308E-1,4.279349446E-1,-1.656716347E0
9.997121380E-1,-7.408401966E-1,3.517604470E-1,-1.646288872E0
1.004712138E0,-6.255861521E-1,2.323596478E-1,-1.622822762E0
1.009712138E0,-4.784566462E-1,1.374644041E-1,-1.672737122E0
1.014712138E0,-3.002724349E-1,7.775145769E-2,-1.853813171E0
1.019712138E0,-1.684286892E-1,-3.048187494E-2,-1.969518661E0
1.024712138E0,-4.125088453E-2,-1.087136865E-1,-2.153838158E0
1.029712138E0,8.786727488E-2,-1.926912069E-1,-2.517361641E0
1.034712138E0,1.830757707E-1,-2.704580128E-1,-2.833805084E0
1.039712138E0,2.824905813E-1,-3.146327734E-1,-3.176993370E0
1.044712138E0,3.319371343E-1,-3.479608893E-1,-3.487830162E0
1.049712138E0,3.405967355E-1,-3.542070985E-1,-3.808431149E0
1.054712138E0,2.937459350E-1,-3.638024628E-1,-4.038892746E0
1.059712138E0,2.238167822E-1,-3.609236479E-1,-4.265330315E0
1.064712138E0,7.363829017E-2,-3.668640256E-1,-4.312241554E0
1.069712138E0,-9.480223060E-2,-3.570991755E-1,-4.240616798E0
1.074712138E0,-2.442731857E-1,-3.204970956E-1,-4.121744156E0
1.079712138E0,-3.673172593E-1,-2.650082111E-1,-4.028275013E0
1.084712138E0,-4.713805318E-1,-2.057569027E-1,-3.835989475E0
1.089712138E0,-6.000036001E-1,-1.112680435E-1,-3.387635231E0
1.094712138E0,-7.441827059E-1,-3.558689356E-2,-2.655804634E0
1.099712138E0,-8.568322659E-1,7.953220606E-2,-1.657285690E0
1.104712138E0,-7.355840206E-1,1.662297249E-1,-1.011241913E0
1.109712138E0,-3.326723576E-1,2.422062755E-1,-9.166908264E-1
1.114712138E0,1.230206490E-1,2.889646888E-1,-1.028556824E0
1.119712138E0,4.375833273E-1,3.428410888E-1,-1.051294327E0
1.124712138E0,5.677894950E-1,3.654464483E-1,-9.715251923E-1
1.129712138E0,5.766364932E-1,3.052098155E-1,-1.010768890E0
