"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
4.900052516E2,2.381250000E1,4.950000286E0,2.538750076E1
4.900152516E2,2.416875076E1,3.187500238E0,2.506875038E1
4.900252516E2,2.428125191E1,4.050000191E0,2.523750114E1
4.900352516E2,2.544375038E1,5.081250191E0,2.568750191E1
4.900452516E2,2.484375191E1,2.700000048E0,2.810625076E1
4.900552516E2,2.664375114E1,1.087500095E0,2.565000153E1
4.900652516E2,2.313750076E1,5.081250191E0,2.720625114E1
4.900752516E2,2.433750153E1,2.887500048E0,2.491875076E1
4.900852516E2,2.373750114E1,4.481250286E0,2.765625191E1
4.900952516E2,2.473125076E1,2.268750191E0,2.718750191E1
4.901052516E2,2.535000038E1,2.418750048E0,2.658750153E1
4.901152516E2,2.544375038E1,3.281250238E0,2.750625038E1
4.901252516E2,2.535000038E1,3.150000095E0,2.581875038E1
4.901352516E2,2.490000153E1,3.168750048E0,2.581875038E1
4.901452516E2,2.501250076E1,2.850000143E0,2.748750114E1
4.901552516E2,2.400000000E1,2.887500048E0,2.596875191E1
4.901652516E2,2.486250114E1,3.900000095E0,2.613750076E1
4.901752516E2,2.433750153E1,2.287500143E0,2.566875076E1
4.901852516E2,2.580000114E1,4.331250191E0,2.523750114E1
4.901952516E2,2.491875076E1,2.718750000E0,2.581875038E1
4.902052516E2,2.431875038E1,2.287500143E0,2.596875191E1
4.902152516E2,2.568750191E1,2.418750048E0,2.581875038E1
4.902252516E2,2.551875114E1,1.518750072E0,2.716875076E1
4.902352516E2,2.623125076E1,2.550000191E0,2.748750114E1
4.902452516E2,2.351250076E1,3.318750143E0,2.643750191E1
4.902552516E2,2.475000191E1,2.868750095E0,2.596875191E1
4.902652516E2,2.308125114E1,2.737500191E0,2.658750153E1
4.902752516E2,2.355000114E1,2.287500143E0,2.641875076E1
4.902852516E2,2.452500153E1,4.181250095E0,2.735625076E1
4.902952516E2,2.280000114E1,2.606250048E0,2.596875191E1
4.903052516E2,2.538750076E1,2.418750048E0,2.581875038E1
4.903152516E2,2.469375038E1,4.331250191E0,2.643750191E1
4.903252516E2,2.578125191E1,3.300000191E0,2.673750114E1
4.903352516E2,2.550000191E1,4.050000191E0,2.523750114E1
4.903452516E2,2.461875153E1,2.418750048E0,2.611875153E1
4.903552516E2,2.626875114E1,3.300000191E0,2.566875076E1
4.903652516E2,2.495625114E1,1.237500072E0,2.611875153E1
4.903752516E2,2.638125038E1,4.481250286E0,2.538750076E1
4.903852516E2,2.424375153E1,4.050000191E0,2.673750114E1
4.903952516E2,2.428125191E1,2.868750095E0,2.673750114E1
4.904052516E2,2.563125038E1,1.668750048E0,2.808750153E1
4.904152516E2,2.561250114E1,3.881250143E0,2.658750153E1
4.904252516E2,2.461875153E1,1.987500072E0,2.611875153E1
4.904352516E2,2.501250076E1,3.600000143E0,2.673750114E1
4.904452516E2,2.424375153E1,3.300000191E0,2.750625038E1
4.904552516E2,2.563125038E1,3.450000048E0,2.613750076E1
4.904652516E2,2.390625000E1,4.331250191E0,2.750625038E1
4.904752516E2,2.246250153E1,3.337500095E0,2.643750191E1
4.904852516E2,2.428125191E1,2.568750143E0,2.673750114E1
4.904952516E2,2.398125076E1,4.068750381E0,2.568750191E1
4.905052516E2,2.486250114E1,4.931250095E0,2.538750076E1
4.905152516E2,2.540625191E1,2.718750000E0,2.460000038E1
4.905252516E2,2.416875076E1,2.737500191E0,2.581875038E1
4.905352516E2,2.690625191E1,2.400000095E0,2.506875038E1
4.905452516E2,2.495625114E1,1.987500072E0,2.536875153E1
4.905552516E2,2.565000153E1,4.481250286E0,2.508750153E1
4.905652516E2,2.576250076E1,3.581250191E0,2.673750114E1
4.905752516E2,2.529375076E1,3.881250143E0,2.688750076E1
4.905852516E2,2.463750076E1,1.687500119E0,2.611875153E1
4.905952516E2,2.415000153E1,3.468750238E0,2.536875153E1
4.906052516E2,2.544375038E1,2.850000143E0,2.795625114E1
