"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.160568410E-1,-1.182054400E0,-5.312066078E-1,9.911071777E0
6.181635070E-1,-1.167697430E0,-5.790630579E-1,9.987641335E0
6.202701220E-1,-1.162911773E0,-5.982056856E-1,1.007856941E1
6.223767370E-1,-1.158126116E0,-6.508477330E-1,1.018385315E1
6.244834030E-1,-1.153340459E0,-7.034898400E-1,1.028435135E1
6.265899660E-1,-1.143769264E0,-7.417750359E-1,1.035135078E1
6.286966320E-1,-1.138983607E0,-7.992027402E-1,1.042313576E1
6.308032470E-1,-1.134197950E0,-8.566305041E-1,1.050927734E1
6.329098620E-1,-1.119840980E0,-8.757730722E-1,1.060499001E1
6.350164760E-1,-1.110269666E0,-9.140582681E-1,1.065284634E1
6.371230910E-1,-1.105484009E0,-9.475577474E-1,1.068156052E1
6.392297050E-1,-1.081555843E0,-9.714859724E-1,1.071506023E1
6.413363720E-1,-1.071984529E0,-9.667003751E-1,1.075334454E1
6.434429870E-1,-1.067198873E0,-9.906286001E-1,1.075813103E1
6.455496010E-1,-1.062413216E0,-9.858429432E-1,1.076291656E1
6.476562680E-1,-1.048056364E0,-9.810572863E-1,1.077727318E1
6.497628300E-1,-1.048056364E0,-9.762716293E-1,1.078205872E1
6.518694970E-1,-1.019342422E0,-9.619147182E-1,1.076291656E1
6.539761120E-1,-1.019342422E0,-9.044869542E-1,1.072941685E1
6.560827260E-1,-1.009771109E0,-8.805587292E-1,1.070070267E1
6.581893410E-1,-1.000199914E0,-8.327022791E-1,1.066241741E1
6.602959550E-1,-1.004985452E0,-8.087740541E-1,1.061934662E1
6.624026220E-1,-1.004985452E0,-7.704889178E-1,1.056670475E1
6.645092370E-1,-9.954141974E-1,-7.274180651E-1,1.051884842E1
6.666158510E-1,-9.954141974E-1,-6.843472719E-1,1.048534870E1
6.687224660E-1,-1.004985452E0,-6.556333899E-1,1.043749237E1
6.708290800E-1,-1.004985452E0,-5.982056856E-1,1.038963604E1
6.729357470E-1,-9.906286001E-1,-5.312066078E-1,1.034656525E1
6.750423620E-1,-9.954141974E-1,-4.737788737E-1,1.028435135E1
6.771489760E-1,-9.906286001E-1,-3.924229145E-1,1.023170948E1
6.792555910E-1,-9.523434043E-1,-3.158525825E-1,1.018863869E1
6.813622050E-1,-9.427721500E-1,-2.392822653E-1,1.013121128E1
6.834688200E-1,-9.332008362E-1,-1.818545163E-1,1.009771156E1
6.855754870E-1,-9.140582681E-1,-1.004985496E-1,1.004985523E1
6.876821010E-1,-8.949156404E-1,-4.785645381E-2,9.987641335E0
6.897887160E-1,-8.757730722E-1,3.349951655E-2,9.949356079E0
6.918953820E-1,-8.518448472E-1,7.657032460E-2,9.872786522E0
6.940019450E-1,-8.279166222E-1,1.148554832E-1,9.863214493E0
6.961086120E-1,-8.039883971E-1,1.483550072E-1,9.834501266E0
6.982152260E-1,-7.848458290E-1,1.674975902E-1,9.791430473E0
7.003218410E-1,-7.848458290E-1,1.962114573E-1,9.762716293E0
7.024284550E-1,-7.704889178E-1,1.962114573E-1,9.724431038E0
7.045350700E-1,-7.513462901E-1,2.153540403E-1,9.690931320E0
7.066416840E-1,-7.322037220E-1,2.153540403E-1,9.667003632E0
7.087482990E-1,-7.130611539E-1,2.105683982E-1,9.657432556E0
7.108549660E-1,-6.795616150E-1,1.914258152E-1,9.643074989E0
7.129615800E-1,-6.652047038E-1,1.818545163E-1,9.633503914E0
7.150681950E-1,-6.364908218E-1,1.627119333E-1,9.614361763E0
7.171748090E-1,-6.125625968E-1,1.292124242E-1,9.600004196E0
7.192814760E-1,-6.221339107E-1,8.135596663E-2,9.585647583E0
7.213880910E-1,-6.221339107E-1,3.349951655E-2,9.590433121E0
7.234947050E-1,-6.412764788E-1,-3.828516230E-2,9.595218658E0
7.256013200E-1,-6.364908218E-1,-7.657032460E-2,9.595218658E0
7.277079870E-1,-6.699903607E-1,-1.052841991E-1,9.595218658E0
7.298146010E-1,-6.987041831E-1,-1.770688742E-1,9.619147301E0
7.319212160E-1,-7.417750359E-1,-2.344966233E-1,9.628718376E0
7.340278300E-1,-7.752745152E-1,-2.727817893E-1,9.671789169E0
7.361344450E-1,-7.992027402E-1,-3.206382394E-1,9.724431038E0
7.382410590E-1,-8.422735929E-1,-3.684946895E-1,9.729216576E0
7.403477260E-1,-8.709874153E-1,-4.019941986E-1,9.762716293E0
7.424543410E-1,-9.140582681E-1,-4.259224236E-1,9.801001549E0
7.445609550E-1,-9.332008362E-1,-4.546363056E-1,9.834501266E0
7.466675700E-1,-9.714859724E-1,-4.689932466E-1,9.887143135E0
7.487741840E-1,-9.858429432E-1,-4.977070987E-1,9.949356079E0
7.508807990E-1,-1.014556766E0,-5.168496966E-1,9.968499184E0
7.529874140E-1,-1.024128079E0,-5.216353536E-1,1.000199890E1
7.550940800E-1,-1.043270707E0,-5.359922647E-1,1.002592659E1
7.572006950E-1,-1.057627559E0,-5.647061467E-1,1.007378292E1
7.593073090E-1,-1.057627559E0,-5.838487148E-1,1.006421185E1
7.614139240E-1,-1.071984529E0,-5.742774606E-1,1.008814049E1
7.635205910E-1,-1.076770186E0,-5.790630579E-1,1.007378292E1
7.656272050E-1,-1.071984529E0,-5.934200287E-1,1.006421185E1
7.677338200E-1,-1.086341500E0,-5.647061467E-1,1.004506969E1
7.698404340E-1,-1.076770186E0,-5.647061467E-1,1.003549862E1
7.719470490E-1,-1.076770186E0,-5.407779217E-1,1.000199890E1
7.740537160E-1,-1.062413216E0,-5.312066078E-1,9.992427826E0
7.761603300E-1,-1.048056364E0,-5.024927258E-1,9.987641335E0
7.782669450E-1,-1.038485050E0,-4.642075896E-1,9.973284721E0
7.803735590E-1,-1.019342422E0,-4.450650215E-1,9.978070259E0
7.824801740E-1,-9.858429432E-1,-4.498506486E-1,9.949356079E0
7.845867890E-1,-9.475577474E-1,-4.402793646E-1,9.949356079E0
7.866934550E-1,-9.523434043E-1,-4.259224236E-1,9.958928108E0
7.888000700E-1,-9.475577474E-1,-4.163511395E-1,9.963713646E0
7.909066840E-1,-9.092726111E-1,-4.067798555E-1,9.944570541E0
7.930132990E-1,-9.092726111E-1,-3.876372576E-1,9.958928108E0
7.951199140E-1,-8.757730722E-1,-3.780659735E-1,9.949356079E0
7.972265280E-1,-8.901300430E-1,-3.780659735E-1,9.958928108E0
7.993331950E-1,-8.757730722E-1,-3.732803464E-1,9.949356079E0
8.014398090E-1,-8.566305041E-1,-3.445664644E-1,9.958928108E0
8.035464240E-1,-8.566305041E-1,-3.254238665E-1,9.944570541E0
8.056530390E-1,-8.566305041E-1,-3.014956415E-1,9.915857315E0
8.077596530E-1,-8.327022791E-1,-2.632105052E-1,9.901499748E0
8.098662680E-1,-8.231309652E-1,-2.632105052E-1,9.877572060E0
8.119729340E-1,-8.135597110E-1,-2.392822653E-1,9.872786522E0
8.140795490E-1,-8.183453679E-1,-2.344966233E-1,9.906285286E0
8.161861640E-1,-8.135597110E-1,-2.249253243E-1,9.872786522E0
8.182927780E-1,-8.279166222E-1,-1.962114573E-1,9.872786522E0
8.203993930E-1,-8.135597110E-1,-1.674975902E-1,9.872786522E0
