"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
4.065393410E-1,8.799883858E-1,-3.703517839E-2,8.456278592E-2,4.659377337E-1,5.671807511E1,7.939040120E-1,1.056440771E1,5.587420086E1
4.115393410E-1,8.800346735E-1,-3.753452003E-2,8.322995901E-2,4.660503268E-1,5.670690730E1,6.709362209E-1,1.045577068E1,5.587114799E1
4.165393410E-1,8.800439026E-1,-3.790152073E-2,8.200837672E-2,4.662197232E-1,5.670468035E1,5.683422713E-1,1.035128533E1,5.587796587E1
4.215393410E-1,8.800215537E-1,-3.810929880E-2,8.087184280E-2,4.664434493E-1,5.671007291E1,4.873603300E-1,1.024685875E1,5.589413198E1
4.265393410E-1,8.799790225E-1,-3.816067427E-2,7.980214804E-2,4.667036533E-1,5.672033395E1,4.264562339E-1,1.014080838E1,5.591701381E1
4.315393410E-1,8.799233035E-1,-3.805664182E-2,7.878374308E-2,4.669901431E-1,5.673377408E1,3.845270825E-1,1.003160930E1,5.594504178E1
4.365393410E-1,8.798620976E-1,-3.783438727E-2,7.781098783E-2,4.672865272E-1,5.674853436E1,3.572529455E-1,9.920693274E0,5.597571278E1
4.415393410E-1,8.797951240E-1,-3.753416240E-2,7.687691599E-2,4.675913453E-1,5.676468155E1,3.401098392E-1,9.809516689E0,5.600846787E1
4.465393410E-1,8.797244141E-1,-3.718321770E-2,7.596781850E-2,4.679009020E-1,5.678172497E1,3.295122222E-1,9.698153426E0,5.604248837E1
4.515393410E-1,8.796552212E-1,-3.683599085E-2,7.506509125E-2,4.682040513E-1,5.679839820E1,3.187566956E-1,9.587656159E0,5.607578058E1
4.565393410E-1,8.796005965E-1,-3.650453314E-2,7.409363240E-2,4.684872925E-1,5.681155780E1,3.023491321E-1,9.471060735E0,5.610579551E1
4.615393410E-1,8.795542083E-1,-3.625801578E-2,7.307991385E-2,4.687526822E-1,5.682273096E1,2.747227393E-1,9.354797683E0,5.613266495E1
4.665393410E-1,8.795107567E-1,-3.616563231E-2,7.207108289E-2,4.689974785E-1,5.683319498E1,2.313996616E-1,9.247399365E0,5.615608777E1
4.715393410E-1,8.794842096E-1,-3.624522686E-2,7.099459320E-2,4.692052603E-1,5.683958719E1,1.664310163E-1,9.142482415E0,5.617319271E1
4.765393410E-1,8.794636647E-1,-3.653116152E-2,6.990968436E-2,4.693844616E-1,5.684453371E1,7.968039520E-2,9.047914115E0,5.618547665E1
4.815393410E-1,8.794472321E-1,-3.698687255E-2,6.878889352E-2,4.695451260E-1,5.684848981E1,-2.650906873E-2,8.958928388E0,5.619427672E1
4.865393410E-1,8.794254908E-1,-3.759335354E-2,6.765713543E-2,4.697020948E-1,5.685372359E1,-1.486707486E-1,8.877022706E0,5.620190536E1
4.915393410E-1,8.793912036E-1,-3.832137957E-2,6.652837992E-2,4.698686600E-1,5.686197668E1,-2.829231798E-1,8.802037271E0,5.621041305E1
4.965393410E-1,8.793392441E-1,-3.913272172E-2,6.542103738E-2,4.700544775E-1,5.687448144E1,-4.242696888E-1,8.733780624E0,5.622143794E1
5.015393410E-1,8.792674138E-1,-3.999995068E-2,6.434532255E-2,4.702642858E-1,5.689176425E1,-5.693163886E-1,8.671817675E0,5.623582663E1
5.065393410E-1,8.791751905E-1,-4.086777940E-2,6.332327425E-2,4.705007672E-1,5.691394668E1,-7.112101292E-1,8.615402890E0,5.625438216E1
5.115393410E-1,8.790702023E-1,-4.169883952E-2,6.235512346E-2,4.707532525E-1,5.693918980E1,-8.462481433E-1,8.562535850E0,5.627587669E1
5.165393410E-1,8.789573438E-1,-4.244095832E-2,6.144587323E-2,4.710171521E-1,5.696631383E1,-9.688993174E-1,8.510893162E0,5.629998915E1
5.215393410E-1,8.788364504E-1,-4.303955287E-2,6.060510874E-2,4.712972641E-1,5.699535579E1,-1.073047227E0,8.458487696E0,5.632766477E1
5.265393410E-1,8.787146537E-1,-4.345976934E-2,5.984959751E-2,4.715822637E-1,5.702460105E1,-1.154349413E0,8.405103743E0,5.635766713E1
5.315393410E-1,8.785984656E-1,-4.366366938E-2,5.918371677E-2,4.718638659E-1,5.705248682E1,-1.208797509E0,8.349096094E0,5.638908347E1
5.365393410E-1,8.784972681E-1,-4.365044087E-2,5.859863758E-2,4.721264541E-1,5.707676459E1,-1.236950917E0,8.289481662E0,5.641975699E1
5.415393410E-1,8.784132943E-1,-4.343474656E-2,5.809054896E-2,4.723653197E-1,5.709690312E1,-1.240560913E0,8.226642112E0,5.644892090E1
5.465393410E-1,8.783494491E-1,-4.304548353E-2,5.766240507E-2,4.725720882E-1,5.711221007E1,-1.222486619E0,8.162417539E0,5.647530583E1
5.515393410E-1,8.783072539E-1,-4.252405465E-2,5.729720369E-2,4.727421105E-1,5.712232438E1,-1.187910082E0,8.097319904E0,5.649794954E1
5.565393410E-1,8.782875756E-1,-4.193600640E-2,5.697412416E-2,4.728702307E-1,5.712704074E1,-1.144675192E0,8.032796176E0,5.651568950E1
5.615393410E-1,8.782862514E-1,-4.132452235E-2,5.668338388E-2,4.729614556E-1,5.712735811E1,-1.097651108E0,7.970214479E0,5.652889317E1
5.665393410E-1,8.783037148E-1,-4.073192552E-2,5.640584975E-2,4.730136096E-1,5.712317262E1,-1.052195817E0,7.909943573E0,5.653693985E1
5.715393410E-1,8.783395513E-1,-4.019246623E-2,5.611357838E-2,4.730279744E-1,5.711458275E1,-1.013296860E0,7.851027261E0,5.653965379E1
5.765393410E-1,8.784006242E-1,-3.973128274E-2,5.575897545E-2,4.729954600E-1,5.709994109E1,-9.861845510E-1,7.790012615E0,5.653542766E1
5.815393410E-1,8.784902089E-1,-3.937097639E-2,5.530562252E-2,4.729124308E-1,5.707845776E1,-9.751658630E-1,7.724443386E0,5.652346369E1
5.865393410E-1,8.786180834E-1,-3.912928328E-2,5.469373241E-2,4.727660716E-1,5.704777933E1,-9.854066533E-1,7.649217321E0,5.650165937E1
5.915393410E-1,8.787767000E-1,-3.899785876E-2,5.392369255E-2,4.725705385E-1,5.700970450E1,-1.015884156E0,7.563923840E0,5.647197437E1
5.965393410E-1,8.789632499E-1,-3.897613287E-2,5.299816653E-2,4.723300338E-1,5.696489467E1,-1.066325371E0,7.468787801E0,5.643505687E1
6.015393410E-1,8.791695917E-1,-3.905824944E-2,5.195194483E-2,4.720553756E-1,5.691529310E1,-1.134109116E0,7.367002300E0,5.639264476E1
6.065393410E-1,8.793881295E-1,-3.923563659E-2,5.081503093E-2,4.717572629E-1,5.686271656E1,-1.216610321E0,7.261129667E0,5.634643126E1
6.115393410E-1,8.796087552E-1,-3.949863091E-2,4.962687939E-2,4.714503884E-1,5.680959248E1,-1.310557375E0,7.154640538E0,5.629866635E1
6.165393410E-1,8.798239158E-1,-3.981951624E-2,4.840821028E-2,4.711485207E-1,5.675774044E1,-1.411888174E0,7.048138587E0,5.625142915E1
6.215393410E-1,8.800281799E-1,-4.018078372E-2,4.719156772E-2,4.708597064E-1,5.670847413E1,-1.516992203E0,6.943980185E0,5.620603633E1
6.265393410E-1,8.802172350E-1,-4.055456072E-2,4.599311203E-2,4.705927968E-1,5.666284107E1,-1.622099872E0,6.842312190E0,5.616384398E1
6.315393410E-1,8.803846868E-1,-4.093609378E-2,4.485318065E-2,4.703564942E-1,5.662239434E1,-1.724488540E0,6.746989704E0,5.612617379E1
6.365393410E-1,8.805259179E-1,-4.127984866E-2,4.379205033E-2,4.701620340E-1,5.658826040E1,-1.818369628E0,6.657644209E0,5.609473110E1
6.415393410E-1,8.806343643E-1,-4.156127200E-2,4.284693301E-2,4.700211883E-1,5.656203734E1,-1.899171449E0,6.576766084E0,5.607124862E1
6.465393410E-1,8.807074160E-1,-4.174324498E-2,4.203696549E-2,4.699413180E-1,5.654436665E1,-1.962061169E0,6.504329148E0,5.605684151E1
6.515393410E-1,8.807449873E-1,-4.180473089E-2,4.137708619E-2,4.699240029E-1,5.653527645E1,-2.004108841E0,6.440733984E0,5.605178354E1
6.565393410E-1,8.807505358E-1,-4.172151536E-2,4.085737094E-2,4.699664712E-1,5.653393390E1,-2.023433061E0,6.383672177E0,5.605570789E1
6.615393410E-1,8.807300647E-1,-4.150285944E-2,4.047631845E-2,4.700571597E-1,5.653888706E1,-2.021156518E0,6.333465811E0,5.606701340E1
6.665393410E-1,8.806928690E-1,-4.115338251E-2,4.020611942E-2,4.701807499E-1,5.654788588E1,-1.999372630E0,6.287504726E0,5.608354867E1
6.715393410E-1,8.806422073E-1,-4.069345817E-2,4.002743214E-2,4.703308940E-1,5.656014042E1,-1.961248518E0,6.244904716E0,5.610431562E1
6.765393410E-1,8.805844094E-1,-4.010669515E-2,3.991427645E-2,4.704990983E-1,5.657411817E1,-1.906589866E0,6.202118082E0,5.612816659E1
6.815393410E-1,8.805280857E-1,-3.941006213E-2,3.984932601E-2,4.706688523E-1,5.658773634E1,-1.838178449E0,6.158259494E0,5.615280985E1
6.865393410E-1,8.804851490E-1,-3.864156455E-2,3.981430829E-2,4.708158374E-1,5.659811573E1,-1.761034044E0,6.113475898E0,5.617485116E1
6.915393410E-1,8.804619466E-1,-3.784857690E-2,3.980477899E-2,4.709244370E-1,5.660372388E1,-1.680311742E0,6.069850380E0,5.619205074E1
6.965393410E-1,8.804699322E-1,-3.707337379E-2,3.980023041E-2,4.709715545E-1,5.660179378E1,-1.601565130E0,6.027559566E0,5.620115529E1
7.015393410E-1,8.805140891E-1,-3.636710346E-2,3.980223089E-2,4.709438980E-1,5.659112002E1,-1.529979932E0,5.989521617E0,5.620024544E1
7.065393410E-1,8.805980347E-1,-3.576722741E-2,3.979039565E-2,4.708338678E-1,5.657082332E1,-1.470501938E0,5.955702630E0,5.618811538E1
7.115393410E-1,8.807241861E-1,-3.529272601E-2,3.975076973E-2,4.706370234E-1,5.654030938E1,-1.425832709E0,5.925720488E0,5.616406776E1
7.165393410E-1,8.808908764E-1,-3.496041894E-2,3.968282416E-2,4.703555107E-1,5.649996654E1,-1.397684952E0,5.900437199E0,5.612832758E1
7.215393410E-1,8.810936357E-1,-3.476114944E-2,3.958551958E-2,4.699985683E-1,5.645085852E1,-1.385118776E0,5.879260773E0,5.608214155E1
7.265393410E-1,8.813272458E-1,-3.474449739E-2,3.946749493E-2,4.695715308E-1,5.639422985E1,-1.392663733E0,5.865732788E0,5.602606622E1
7.315393410E-1,8.815788912E-1,-3.488234058E-2,3.933461756E-2,4.690998495E-1,5.633317083E1,-1.416984285E0,5.858943692E0,5.596355748E1
7.365393410E-1,8.818371806E-1,-3.514692560E-2,3.918535262E-2,4.686068594E-1,5.627043647E1,-1.455197906E0,5.857252893E0,5.589775953E1
7.415393410E-1,8.820916655E-1,-3.548484296E-2,3.903051093E-2,4.681150913E-1,5.620856326E1,-1.501153382E0,5.858898726E0,5.583185093E1
7.465393410E-1,8.823281193E-1,-3.583417088E-2,3.888366744E-2,4.676548541E-1,5.615101788E1,-1.547629793E0,5.861974190E0,5.577006015E1
7.515393410E-1,8.825451783E-1,-3.615149856E-2,3.876588866E-2,4.672304392E-1,5.609814483E1,-1.589054504E0,5.866299918E0,5.571318185E1
7.565393410E-1,8.827402065E-1,-3.640029207E-2,3.867069632E-2,4.668504298E-1,5.605059915E1,-1.622003719E0,5.869288285E0,5.566243975E1
7.615393410E-1,8.829160087E-1,-3.656496480E-2,3.860586882E-2,4.665103555E-1,5.600770876E1,-1.644502047E0,5.870901471E0,5.561733391E1
7.665393410E-1,8.830701819E-1,-3.663331643E-2,3.856023028E-2,4.662168622E-1,5.597007035E1,-1.655861072E0,5.869379170E0,5.557872987E1
7.715393410E-1,8.832072851E-1,-3.659517318E-2,3.853094950E-2,4.659624994E-1,5.593657969E1,-1.655243910E0,5.863888319E0,5.554568307E1
7.765393410E-1,8.833316808E-1,-3.644343093E-2,3.849384189E-2,4.657416046E-1,5.590617717E1,-1.643257970E0,5.851592427E0,5.551739346E1
7.815393410E-1,8.834456089E-1,-3.618157655E-2,3.844978660E-2,4.655495286E-1,5.587831961E1,-1.620238919E0,5.832765682E0,5.549324273E1
7.865393410E-1,8.835611310E-1,-3.582481295E-2,3.836282715E-2,4.653650224E-1,5.585005924E1,-1.589797380E0,5.804534614E0,5.547027610E1
