"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.796539341E0,-5.472986698E-1,-8.428250998E-2,9.791004181E0
1.801539341E0,-5.709135532E-1,-1.241897941E-1,9.789230347E0
1.806539341E0,-5.911544561E-1,-1.645934284E-1,9.787432671E0
1.811539341E0,-6.080983281E-1,-2.025298923E-1,9.785682678E0
1.816539341E0,-6.219627857E-1,-2.360859066E-1,9.784058571E0
1.821539341E0,-6.320147514E-1,-2.641606033E-1,9.782696724E0
1.826539341E0,-6.384803653E-1,-2.863468528E-1,9.781653404E0
1.831539341E0,-6.419425607E-1,-3.030347824E-1,9.780923843E0
1.836539341E0,-6.433266997E-1,-3.152145743E-1,9.780447960E0
1.841539341E0,-6.432867050E-1,-3.242090940E-1,9.780156136E0
1.846539341E0,-6.426651478E-1,-3.314797878E-1,9.779953003E0
1.851539341E0,-6.417979598E-1,-3.387224674E-1,9.779762268E0
1.856539341E0,-6.412957907E-1,-3.472085595E-1,9.779497147E0
1.861539341E0,-6.418408155E-1,-3.576474786E-1,9.779085159E0
1.866539341E0,-6.441377997E-1,-3.700049222E-1,9.778474808E0
1.871539341E0,-6.487073302E-1,-3.841092587E-1,9.777627945E0
1.876539341E0,-6.554076672E-1,-3.993339837E-1,9.776572227E0
1.881539341E0,-6.640995741E-1,-4.149224460E-1,9.775337219E0
1.886539341E0,-6.743272543E-1,-4.300560057E-1,9.773982048E0
1.891539341E0,-6.799988151E-1,-4.430367947E-1,9.773009300E0
1.896539341E0,-6.807456017E-1,-4.524419904E-1,9.772526741E0
1.901539341E0,-6.830817461E-1,-4.583854973E-1,9.772087097E0
1.906539341E0,-6.879612803E-1,-4.627286196E-1,9.771538734E0
1.911539341E0,-6.950336695E-1,-4.667143226E-1,9.770850182E0
1.916539341E0,-7.038433552E-1,-4.706588686E-1,9.770029068E0
1.921539341E0,-7.139633298E-1,-4.747252464E-1,9.769098282E0
1.926539341E0,-7.252163887E-1,-4.786596596E-1,9.768076897E0
1.931539341E0,-7.368040085E-1,-4.816704690E-1,9.767062187E0
1.936539341E0,-7.482814789E-1,-4.828312993E-1,9.766132355E0
1.941539341E0,-7.600914836E-1,-4.816092849E-1,9.765280724E0
