"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.965539240E-1,-4.833467603E-1,-3.324631453E-1,4.230238497E-2
3.986605390E-1,-4.674642682E-1,-3.300196826E-1,4.841103405E-2
4.007671530E-1,-4.479165971E-1,-3.202458620E-1,5.574141070E-2
4.028738200E-1,-4.259254634E-1,-3.165806830E-1,6.429351866E-2
4.049804340E-1,-4.075995386E-1,-3.116937578E-1,7.040216774E-2
4.070870490E-1,-3.856084049E-1,-3.092502952E-1,7.651081681E-2
4.091936640E-1,-3.623955250E-1,-3.080285788E-1,8.384118974E-2
4.113002780E-1,-3.416261375E-1,-3.043633699E-1,9.117157012E-2
4.134068930E-1,-3.208567202E-1,-3.055851161E-1,9.728021920E-2
4.155135590E-1,-2.988655865E-1,-3.104720116E-1,1.021671370E-1
4.176201740E-1,-2.768744528E-1,-3.153589368E-1,1.082757786E-1
4.197268410E-1,-2.561050653E-1,-3.226893246E-1,1.119409725E-1
4.218334030E-1,-2.353356630E-1,-3.312414289E-1,1.156061590E-1
4.239400180E-1,-2.145662606E-1,-3.349066079E-1,1.180496216E-1
4.260466320E-1,-1.962403059E-1,-3.410152495E-1,1.192713454E-1
4.281532990E-1,-1.779143661E-1,-3.434587121E-1,1.204930767E-1
4.302599140E-1,-1.595884264E-1,-3.446804583E-1,1.217148080E-1
4.323665280E-1,-1.461493969E-1,-3.483456373E-1,1.217148080E-1
4.344731950E-1,-1.302669197E-1,-3.471239209E-1,1.217148080E-1
4.365798090E-1,-1.156061590E-1,-3.434587121E-1,1.217148080E-1
4.386864240E-1,-1.058323234E-1,-3.410152495E-1,1.217148080E-1
4.407930390E-1,-9.728021920E-2,-3.410152495E-1,1.217148080E-1
4.428997050E-1,-9.117157012E-2,-3.385718167E-1,1.204930767E-1
4.450062680E-1,-8.750637621E-2,-3.373500705E-1,1.192713454E-1
4.471129340E-1,-8.750637621E-2,-3.349066079E-1,1.143844277E-1
4.492195490E-1,-8.994983882E-2,-3.312414289E-1,1.119409725E-1
4.513261640E-1,-9.605848789E-2,-3.324631453E-1,1.082757786E-1
4.534327780E-1,-1.033888608E-1,-3.226893246E-1,1.046105921E-1
4.555393930E-1,-1.119409725E-1,-3.251327872E-1,1.033888608E-1
4.576460070E-1,-1.180496216E-1,-3.434587121E-1,1.021671370E-1
4.597526740E-1,-1.339320987E-1,-3.422369957E-1,9.972367436E-2
4.618592890E-1,-1.571449637E-1,-3.165806830E-1,9.361502528E-2
4.639659030E-1,-1.828012913E-1,-2.994764447E-1,8.750637621E-2
4.660725180E-1,-2.060141414E-1,-2.909243405E-1,7.895427197E-2
4.681791840E-1,-2.280052751E-1,-2.945895493E-1,7.406735420E-2
4.702857990E-1,-2.561050653E-1,-2.909243405E-1,6.918043643E-2
4.723924140E-1,-2.842048407E-1,-2.725984156E-1,6.307178736E-2
4.744990280E-1,-3.147480786E-1,-2.567159235E-1,5.940660089E-2
4.766056950E-1,-3.379609287E-1,-2.432768941E-1,5.329795182E-2
4.787122570E-1,-3.636172712E-1,-2.371682525E-1,5.085449293E-2
4.808189240E-1,-3.856084049E-1,-2.298378795E-1,4.963276163E-2
4.829254870E-1,-4.075995386E-1,-2.225074917E-1,4.963276163E-2
4.850321530E-1,-4.271472096E-1,-2.139553875E-1,5.085449293E-2
4.871387680E-1,-4.430296719E-1,-2.029598206E-1,5.085449293E-2
4.892454340E-1,-4.589121640E-1,-1.931859851E-1,5.329795182E-2
4.913520490E-1,-4.735729098E-1,-1.858556122E-1,5.818486959E-2
4.934586640E-1,-4.845684767E-1,-1.797469556E-1,6.185005978E-2
4.955652780E-1,-4.918988645E-1,-1.699731201E-1,6.673697382E-2
4.976718930E-1,-4.980075061E-1,-1.601992846E-1,7.162389904E-2
4.997785070E-1,-5.028944016E-1,-1.565341055E-1,7.895427197E-2
5.018851220E-1,-5.053378940E-1,-1.479819864E-1,8.261945844E-2
